match_id,date,stage,group,home_team,away_team,venue,city
1,2026-06-11,group,A,Mexico,South Africa,Estadio Azteca,Mexico City
2,2026-06-11,group,A,South Korea,Czech Republic,Estadio Akron,Zapopan
3,2026-06-12,group,B,Canada,Bosnia and Herzegovina,BMO Field,Toronto
4,2026-06-12,group,D,United States,Paraguay,SoFi Stadium,Inglewood
5,2026-06-13,group,B,Qatar,Switzerland,Levi's Stadium,Santa Clara
6,2026-06-13,group,C,Brazil,Morocco,MetLife Stadium,East Rutherford
7,2026-06-13,group,C,Haiti,Scotland,Gillette Stadium,Foxborough
8,2026-06-13,group,D,Australia,Turkey,BC Place,Vancouver
9,2026-06-14,group,E,Germany,Curaçao,NRG Stadium,Houston
10,2026-06-14,group,F,Netherlands,Japan,AT&T Stadium,Arlington
11,2026-06-14,group,E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia
12,2026-06-14,group,F,Sweden,Tunisia,Estadio BBVA,Guadalupe
13,2026-06-15,group,H,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta
14,2026-06-15,group,G,Belgium,Egypt,Lumen Field,Seattle
15,2026-06-15,group,H,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens
16,2026-06-15,group,G,Iran,New Zealand,SoFi Stadium,Inglewood
17,2026-06-16,group,I,France,Senegal,MetLife Stadium,East Rutherford
18,2026-06-16,group,I,Iraq,Norway,Gillette Stadium,Foxborough
19,2026-06-16,group,J,Argentina,Algeria,Arrowhead Stadium,Kansas City
20,2026-06-16,group,J,Austria,Jordan,Levi's Stadium,Santa Clara
21,2026-06-17,group,K,Portugal,DR Congo,NRG Stadium,Houston
22,2026-06-17,group,L,England,Croatia,AT&T Stadium,Arlington
23,2026-06-17,group,L,Ghana,Panama,BMO Field,Toronto
24,2026-06-17,group,K,Uzbekistan,Colombia,Estadio Azteca,Mexico City
25,2026-06-18,group,A,Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta
26,2026-06-18,group,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood
27,2026-06-18,group,B,Canada,Qatar,BC Place,Vancouver
28,2026-06-18,group,A,Mexico,South Korea,Estadio Akron,Zapopan
29,2026-06-19,group,D,United States,Australia,Lumen Field,Seattle
30,2026-06-19,group,C,Scotland,Morocco,Gillette Stadium,Foxborough
31,2026-06-19,group,C,Brazil,Haiti,Lincoln Financial Field,Philadelphia
32,2026-06-19,group,D,Turkey,Paraguay,Levi's Stadium,Santa Clara
33,2026-06-20,group,F,Netherlands,Sweden,NRG Stadium,Houston
34,2026-06-20,group,E,Germany,Ivory Coast,BMO Field,Toronto
