country,player,position,club,shirt_number,age,caps
Algeria,Melvin Mastil,GK,Stade Nyonnais,1,26,1
Algeria,Aïssa Mandi,DF,Lille,2,34,117
Algeria,Achref Abada,DF,USM Alger,3,26,7
Algeria,Mohamed Amine Tougai,DF,Espérance de Tunis,4,26,29
Algeria,Zineddine Belaïd,DF,JS Kabylie,5,27,10
Algeria,Ramiz Zerrouki,MF,Twente,6,28,52
Algeria,Riyad Mahrez,FW,Al-Ahli,7,35,114
Algeria,Houssem Aouar,MF,Al-Ittihad,8,27,20
Algeria,Amine Gouiri,FW,Marseille,9,26,22
Algeria,Farès Chaïbi,MF,Eintracht Frankfurt,10,23,29
Algeria,Anis Hadj Moussa,FW,Feyenoord,11,24,14
Algeria,Nadhir Benbouali,FW,Győri ETO,12,26,3
Algeria,Jaouen Hadjam,DF,Young Boys,13,23,17
Algeria,Hicham Boudaoui,MF,Nice,14,26,32
Algeria,Rayan Aït-Nouri,DF,Manchester City,15,25,28
Algeria,Oussama Benbot,GK,USM Alger,16,31,2
Algeria,Rafik Belghali,DF,Hellas Verona,17,24,12
Algeria,Mohamed Amoura,FW,VfL Wolfsburg,18,26,45
Algeria,Nabil Bentaleb,MF,Lille,19,31,59
Algeria,Adil Boulbina,FW,Al-Duhail,20,23,11
Algeria,Ramy Bensebaini,DF,Borussia Dortmund,21,31,81
Algeria,Ibrahim Maza,MF,Bayer Leverkusen,22,20,16
Algeria,Luca Zidane,GK,Granada,23,28,7
Algeria,Yacine Titraoui,MF,Charleroi,24,22,5
Algeria,Farès Ghedjemis,FW,Frosinone,25,23,1
Algeria,Samir Chergui,DF,Paris FC,26,27,4
Argentina,Juan Musso,GK,Atlético Madrid,1,32,4
Argentina,Nicolás Tagliafico,DF,Lyon,3,33,76
Argentina,Gonzalo Montiel,DF,River Plate,4,29,38
Argentina,Leandro Paredes,MF,Boca Juniors,5,31,77
Argentina,Lisandro Martínez,DF,Manchester United,6,28,27
Argentina,Rodrigo De Paul,MF,Inter Miami CF,7,32,86
Argentina,Valentín Barco,MF,Strasbourg,8,21,3
Argentina,Julián Alvarez,FW,Atlético Madrid,9,26,51
Argentina,Lionel Messi,FW,Inter Miami CF,10,38,198
Argentina,Giovani Lo Celso,MF,Real Betis,11,30,66
Argentina,Gerónimo Rulli,GK,Marseille,12,34,7
Argentina,Cristian Romero,DF,Tottenham Hotspur,13,28,50
Argentina,Exequiel Palacios,MF,Bayer Leverkusen,14,27,39
Argentina,Nicolás González,MF,Atlético Madrid,15,28,50
Argentina,Thiago Almada,FW,Atlético Madrid,16,25,15
Argentina,Giuliano Simeone,FW,Atlético Madrid,17,23,12
Argentina,Nico Paz,FW,Como,18,21,8
Argentina,Nicolás Otamendi,DF,Benfica,19,38,131
Argentina,Alexis Mac Allister,MF,Liverpool,20,27,45
Argentina,José Manuel López,FW,Palmeiras,21,25,4
Argentina,Lautaro Martínez,FW,Inter Milan,22,28,76
Argentina,Emiliano Martínez,GK,Aston Villa,23,33,59
Argentina,Enzo Fernández,MF,Chelsea,24,25,41
Argentina,Facundo Medina,DF,Marseille,25,27,8
Argentina,Nahuel Molina,DF,Atlético Madrid,26,28,58
Australia,Mathew Ryan,GK,Levante,1,34,104
Australia,Miloš Degenek,DF,APOEL,2,32,57
Australia,Alessandro Circati,DF,Parma,3,22,13
Australia,Jacob Italiano,DF,Grazer AK,4,24,5
Australia,Jordan Bos,DF,Feyenoord,5,23,27
Australia,Jason Geria,DF,Albirex Niigata,6,33,14
Australia,Mathew Leckie,FW,Melbourne City,7,35,80
Australia,Connor Metcalfe,MF,FC St. Pauli,8,26,36
Australia,Mohamed Touré,FW,Norwich City,9,22,10
Australia,Ajdin Hrustic,FW,Heracles Almelo,10,29,37
Australia,Awer Mabil,FW,Castellón,11,30,38
Australia,Paul Izzo,GK,Randers,12,31,4
Australia,Aiden O'Neill,MF,New York City FC,13,27,31
Australia,Cammy Devlin,MF,Heart of Midlothian,14,28,5
Australia,Kai Trewin,DF,New York City FC,15,25,6
Australia,Aziz Behich,DF,Melbourne City,16,35,84
Australia,Nestory Irankunda,FW,Watford,17,20,15
Australia,Patrick Beach,GK,Melbourne City,18,22,2
Australia,Harry Souttar,DF,Leicester City,19,27,38
Australia,Cristian Volpato,FW,Sassuolo,20,22,1
Australia,Cameron Burgess,DF,Swansea City,21,30,27
Australia,Jackson Irvine,MF,FC St. Pauli,22,33,82
Australia,Nishan Velupillay,FW,Melbourne Victory,23,25,7
Australia,Paul Okon-Engstler,MF,Sydney FC,24,21,6
Australia,Lucas Herrington,DF,Colorado Rapids,25,18,4
Australia,Tete Yengi,FW,Machida Zelvia,26,25,1
Austria,Alexander Schlager,GK,Red Bull Salzburg,1,30,26
Austria,David Affengruber,DF,Elche,2,25,1
Austria,Kevin Danso,DF,Tottenham Hotspur,3,27,32
Austria,Xaver Schlager,MF,RB Leipzig,4,28,51
Austria,Stefan Posch,DF,Mainz 05,5,29,52
Austria,Nicolas Seiwald,MF,RB Leipzig,6,25,47
Austria,Marko Arnautović,FW,Red Star Belgrade,7,37,133
Austria,David Alaba,DF,Real Madrid,8,33,113
Austria,Marcel Sabitzer,MF,Borussia Dortmund,9,32,98
Austria,Florian Grillitsch,MF,Braga,10,30,58
Austria,Michael Gregoritsch,FW,FC Augsburg,11,32,75
Austria,Florian Wiegele,GK,Viktoria Plzeň,12,25,1
Austria,Patrick Pentz,GK,Brøndby,13,29,18
Austria,Saša Kalajdžić,FW,LASK,14,28,22
Austria,Philipp Lienhart,DF,SC Freiburg,15,29,41
Austria,Phillipp Mwene,DF,Mainz 05,16,32,30
Austria,Carney Chukwuemeka,MF,Borussia Dortmund,17,22,3
Austria,Romano Schmid,MF,Werder Bremen,18,26,34
Austria,Konrad Laimer,MF,Bayern Munich,20,29,57
Austria,Patrick Wimmer,FW,VfL Wolfsburg,21,25,30
Austria,Alexander Prass,MF,TSG Hoffenheim,22,25,19
